Name,Street,District,Region,Status,Working hour,Price range,Rate Average,Review count,Rate Quality,Rate Price,Rate Location,Rate Service,Rate Space,Category
Cơm Gà Xối Mỡ 142 - Ba Đình,"142 Ba Đình, P. 10",Quận 8,TP. HCM,Đang mở cửa,09:00 - 22:00,20.000đ - 55.000đ,6.9,254,7.3,7.1,6.8,6.7,6.5,Đồ ăn
Cơm Tấm Hậu,183 Trần Quốc Thảo,Quận 3,TP. HCM,,08:30 - 21:00,20.000đ - 35.000đ,5.3,10,6.1,5.4,5.1,5.0,4.8,Đồ ăn
Cơm Tấm Minh Long - Nguyễn Thị Thập,"607 Nguyễn Thị Thập, P. Tân Hưng",Quận 7,TP. HCM,Đang mở cửa,07:00 - 22:00,20.000đ - 40.000đ,6.3,46,6.5,6.4,6.2,6.2,6.1,Đồ ăn
Sủi Cảo Ngọc Ý - Hà Tôn Quyền,"187 Hà Tôn Quyền, P. 4",Quận 11,TP. HCM,Đang mở cửa,11:00 - 01:00,30.000đ - 60.000đ,6.7,246,7.2,6.7,6.7,6.6,6.3,Đồ ăn
Cháo Sườn Cô Giang - Đinh Tiên Hoàng,"14B Đinh Tiên Hoàng, P. Đa Kao",Quận 1,TP. HCM,Đang mở cửa,07:30 - 22:00,15.000đ - 29.000đ,6.9,48,7.2,7.0,6.9,6.8,6.4,Đồ ăn
Cơm Tấm Tài - Nguyễn Văn Nghi,100 Nguyễn Văn Nghi,Quận Gò Vấp,TP. HCM,Đang mở cửa,17:00 - 22:00,20.000đ - 30.000đ,5.9,24,6.8,6.7,5.8,5.6,4.7,Đồ ăn
McDonald's Ben Thanh,"2-2A Trần Hưng Đạo, P. Bến Thành",Quận 1,TP. HCM,Đang mở cửa,00:01 - 23:59,50.000đ - 200.000đ,7.3,376,7.9,7.6,7.2,7.2,6.5,Đồ ăn
Bánh Canh Cua 14 - Trần Bình Trọng,"221 Trần Bình Trọng, P. 3",Quận 5,TP. HCM,Đang mở cửa,07:30 - 23:59,40.000đ - 60.000đ,7.0,279,7.3,7.3,7.0,6.9,6.7,Đồ ăn
Tiến Hải Quán - Bún Đậu Mắm Tôm Hà Nội,"409 Nguyễn Tri Phương, P. 5",Quận 10,TP. HCM,,10:00 - 21:00,20.000đ - 55.000đ,7.0,458,7.4,7.4,7.2,6.7,6.1,Đồ ăn
Phan Lê - Bún Cá Lóc - Cao Thắng,"159 Cao Thắng, P. 11",Quận 10,TP. HCM,Đang mở cửa,07:00 - 22:00,35.000đ - 78.000đ,7.3,46,7.7,7.4,7.2,7.1,6.9,Đồ ăn
McDonald’s Saigon Supermarket,"Siêu Thị Sài Gòn, 460 Đường 3 Tháng 2, P. 12",Quận 10,TP. HCM,Đang mở cửa,07:00 - 23:00,30.000đ - 100.000đ,6.7,84,7.1,6.9,6.7,6.4,6.2,Đồ ăn
Cô Năm - Bánh Tráng Trộn,"45 Lê Thị Hồng, P. 7",Quận Gò Vấp,TP. HCM,,06:00 - 19:00,15.000đ - 15.000đ,7.3,21,8.1,7.7,7.4,7.1,6.5,Đồ ăn
